  #liquid density at 303.00000   K =  722.67389 kg/cu.m
#    fluids/DECANE.FLD  1.0000
 # variables = "percent vol evap"  "temperature (C)" 
     48.33876   174.12017
     48.69296   174.12017
     49.04473   174.12017
     49.39409   174.12017
     49.74105   174.12017
     50.08564   174.12017
     50.42786   174.12017
     50.76774   174.12017
     51.10528   174.12017
     51.44052   174.12017
     51.77345   174.12017
     52.10410   174.12017
     52.43249   174.12017
     52.75862   174.12017
     53.08251   174.12017
     53.40419   174.12017
     53.72366   174.12017
     54.04094   174.12017
     54.35605   174.12017
     54.66899   174.12017
     54.97979   174.12017
     55.28846   174.12017
     55.59501   174.12017
     55.89946   174.12017
     56.20182   174.12017
     56.50211   174.12017
     56.80034   174.12017
     57.09653   174.12017
     57.39068   174.12017
     57.68282   174.12017
     57.97295   174.12017
     58.26110   174.12017
     58.54727   174.12017
     58.83148   174.12017
     59.11374   174.12017
     59.39406   174.12017
     59.67247   174.12017
     59.94896   174.12017
     60.22356   174.12017
     60.49627   174.12017
     60.76712   174.12017
     61.03611   174.12017
     61.30325   174.12017
     61.56856   174.12017
     61.83206   174.12017
     62.09375   174.12017
     62.35364   174.12017
     62.61175   174.12017
     62.86809   174.12017
     63.12267   174.12017
     63.37551   174.12017
     63.62662   174.12017
     63.87600   174.12017
     64.12368   174.12017
     64.36965   174.12017
     64.61394   174.12017
     64.85655   174.12017
     65.09750   174.12017
     65.33680   174.12017
     65.57446   174.12017
     65.81049   174.12017
     66.04490   174.12017
     66.27770   174.12017
     66.50891   174.12017
     66.73853   174.12017
     66.96658   174.12017
     67.19306   174.12017
     67.41799   174.12017
     67.64138   174.12017
     67.86324   174.12017
     68.08358   174.12017
     68.30240   174.12017
     68.51973   174.12017
     68.73556   174.12017
     68.94992   174.12017
     69.16280   174.12017
     69.37423   174.12017
     69.58421   174.12017
     69.79274   174.12017
     69.99985   174.12017
     70.20554   174.12017
     70.40981   174.12017
     70.61269   174.12017
     70.81418   174.12017
     71.01428   174.12017
     71.21301   174.12017
     71.41038   174.12017
     71.60640   174.12017
     71.80107   174.12017
     71.99441   174.12017
     72.18642   174.12017
     72.37712   174.12017
     72.56650   174.12017
     72.75459   174.12017
     72.94139   174.12017
     73.12691   174.12017
     73.31116   174.12017
     73.49414   174.12017
     73.67587   174.12017
     73.85636   174.12017
     74.03560   174.12017
     74.21362   174.12017
     74.39042   174.12017
     74.56600   174.12017
     74.74038   174.12017
     74.91357   174.12017
     75.08557   174.12017
     75.25638   174.12017
     75.42603   174.12017
     75.59451   174.12017
     75.76184   174.12017
     75.92803   174.12017
     76.09307   174.12017
     76.25698   174.12017
     76.41977   174.12017
     76.58144   174.12017
     76.74200   174.12017
     76.90146   174.12017
     77.05983   174.12017
     77.21711   174.12017
     77.37332   174.12017
     77.52845   174.12017
     77.68252   174.12017
     77.83553   174.12017
     77.98750   174.12017
     78.13842   174.12017
     78.28831   174.12017
     78.43717   174.12017
     78.58500   174.12017
     78.73183   174.12017
     78.87765   174.12017
     79.02247   174.12017
     79.16629   174.12017
     79.30913   174.12017
     79.45100   174.12017
     79.59188   174.12017
     79.73181   174.12017
     79.87077   174.12017
     80.00878   174.12017
     80.14584   174.12017
     80.28197   174.12017
     80.41716   174.12017
     80.55142   174.12017
     80.68477   174.12017
     80.81719   174.12017
     80.94872   174.12017
     81.07933   174.12017
     81.20906   174.12017
     81.33789   174.12017
     81.46584   174.12017
     81.59292   174.12017
     81.71912   174.12017
     81.84446   174.12017
     81.96894   174.12017
     82.09256   174.12017
     82.21534   174.12017
     82.33727   174.12017
     82.45837   174.12017
     82.57864   174.12017
     82.69809   174.12017
     82.81671   174.12017
     82.93452   174.12017
     83.05153   174.12017
     83.16773   174.12017
     83.28314   174.12017
     83.39775   174.12017
     83.51158   174.12017
     83.62463   174.12017
     83.73690   174.12017
     83.84840   174.12017
     83.95914   174.12017
     84.06912   174.12017
     84.17835   174.12017
     84.28682   174.12017
     84.39456   174.12017
     84.50155   174.12017
     84.60781   174.12017
     84.71334   174.12017
     84.81815   174.12017
     84.92224   174.12017
     85.02562   174.12017
     85.12828   174.12017
     85.23025   174.12017
     85.33151   174.12017
     85.43208   174.12017
     85.53196   174.12017
     85.63116   174.12017
     85.72967   174.12017
     85.82751   174.12017
     85.92468   174.12017
     86.02119   174.12017
     86.11703   174.12017
     86.21221   174.12017
     86.30675   174.12017
     86.40063   174.12017
     86.49387   174.12017
     86.58647   174.12017
     86.67844   174.12017
     86.76977   174.12017
     86.86048   174.12017
     86.95057   174.12017
     87.04004   174.12017
     87.12889   174.12017
     87.21714   174.12017
     87.30478   174.12017
     87.39182   174.12017
     87.47827   174.12017
     87.56412   174.12017
     87.64938   174.12017
     87.73406   174.12017
     87.81816   174.12017
     87.90168   174.12017
     87.98463   174.12017
     88.06701   174.12017
     88.14882   174.12017
     88.23008   174.12017
     88.31077   174.12017
     88.39092   174.12017
     88.47051   174.12017
     88.54956   174.12017
     88.62807   174.12017
     88.70603   174.12017
     88.78347   174.12017
     88.86037   174.12017
     88.93675   174.12017
     89.01260   174.12017
     89.08793   174.12017
     89.16275   174.12017
     89.23705   174.12017
     89.31084   174.12017
     89.38413   174.12017
     89.45691   174.12017
     89.52920   174.12017
     89.60099   174.12017
     89.67229   174.12017
     89.74310   174.12017
     89.81342   174.12017
     89.88326   174.12017
     89.95262   174.12017
     90.02151   174.12017
     90.08992   174.12017
     90.15787   174.12017
     90.22535   174.12017
     90.29237   174.12017
     90.35892   174.12017
     90.42502   174.12017
     90.49067   174.12017
     90.55587   174.12017
     90.62062   174.12017
     90.68493   174.12017
     90.74879   174.12017
     90.81222   174.12017
     90.87522   174.12017
     90.93778   174.12017
     90.99991   174.12017
     91.06162   174.12017
     91.12290   174.12017
     91.18376   174.12017
     91.24421   174.12017
